Scheme Name,Category,Eligibility,Benefits,State,Link
PM Kisan,Farming,"1) Must be a farmer
2) Must own cultivable land
3) Aadhaar linked bank account required",Benifits:- ₹6000 per year,All India,https://pmkisan.gov.in
Ayushman Bharat,Health,"Families listed in SECC-2011 data
Rural poor households
Urban workers like:
1)Labourers
2)Street vendors
3)Domestic workers","₹ 5 lakh per family per year
Covers:
Hospitalization 🏥
Surgeries
ICU care
Medicines & diagnostics
Cashless & paperless treatment
Works across India (portability)",All India,https://pmjay.gov.in
PM Awas Yojana,Housing,"Economically Weaker Section (EWS)
Low Income Group (LIG)
Middle Income Group (MIG)
No pucca house in familys","Subsidy for house constructionFinancial assistance for building houses
Subsidy on home loans (interest subsidy under CLSS)
Direct support for construction",All India,https://pmaymis.gov.in
Startup India,Business,Entrepreneurs,Funding and tax benefits,All India,https://startupindia.gov.in
Stand Up India,Business,SC/ST/Women entrepreneurs,Loans for startups,All India,https://standupmitra.in
Skill India,Education,Youth,Skill development training,All India,https://skillindia.gov.in
Digital India,Technology,Citizens,Digital services access,All India,https://digitalindia.gov.in
PM Fasal Bima Yojana,Farming,"All farmers growing notified crops
Includes:
Loanee farmers (compulsory)
Non-loanee farmers (optional)","Crop insuranceCompensation for crop damage
Very low premium:
Kharif crops → 2%
Rabi crops → 1.5%
Commercial crops → 5%
Remaining premium paid by government",All India,https://pmfby.gov.in
Kisan Credit Card,Farming,Farmers,Easy credit access,All India,https://kcc.gov.in
Mid Day Meal Scheme,Education,School students,Free meals,All India,https://mdm.nic.in
Beti Bachao Beti Padhao,Social,Girl child,Education and welfare,All India,https://wcd.nic.in
Ujjwala Yojana,Energy,"Women from Below Poverty Line (BPL) families
SECC-2011 listed households
SC/ST households
PMAY beneficiaries
Antyodaya Anna Yojana (AAY) families","Free LPG connection
Financial assistance 
Subsidy on gas cylinders
First refill + stove support (in some cases)",All India,https://pmuy.gov.in
Swachh Bharat Mission,Sanitation,Citizens,Cleanliness and toilets,All India,https://swachhbharatmission.gov.in
Atal Pension Yojana,Finance,Unorganized sector workers,Pension scheme,All India,https://npscra.nsdl.co.in
PM Mudra Yojana,Business,Small businesses,Loans up to ₹10 lakh,All India,https://mudra.org.in
National Scholarship Portal,Education,Students,Scholarships,All India,https://scholarships.gov.in
e-Shram Yojana,Labour,"Labourers
Construction workers
Street vendors
Domestic workers","Labourers
Construction workers
Street vendors
Domestic workers",All India,https://eshram.gov.in
PM Suraksha Bima Yojana,Insurance,Citizens,Accident insurance,All India,https://jansuraksha.gov.in
PM Jeevan Jyoti Bima Yojana,Insurance,Citizens,Life insurance,All India,https://jansuraksha.gov.in
Soil Health Card Scheme,Farming,Farmers,Soil quality info,All India,https://soilhealth.dac.gov.in
National Rural Livelihood Mission,Rural,Rural poor,Self-employment support,All India,https://aajeevika.gov.in
Pradhan Mantri Kaushal Vikas Yojana,Education,Youth,Skill certification,All India,https://pmkvyofficial.org
Smart Cities Mission,Urban,"Urban residents
Businesses
Tourists","Smart traffic systems 🚦
CCTV surveillance
Efficient water & waste management
Digital services",All India,https://smartcities.gov.in
AMRUT Mission,Urban,Urban residents,Water supply & sewerage,All India,https://amrut.gov.in
National Health Mission,Health,Citizens,Healthcare services,All India,https://nhm.gov.in
PM Garib Kalyan Yojana,Welfare,Poor families,Food & financial support,All India,https://pmgky.gov.in
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Rural,Rural youth,Skill training,All India,https://ddugky.gov.in
Rashtriya Krishi Vikas Yojana,Farming,Farmers,Agriculture development,All India,https://rkvy.nic.in
National Education Policy,Education,"Students from:
School level
College / university
Based on:
Income
Category (SC/ST/OBC/Minority)
Merit","Access to central + state scholarships
Direct benefit transfer (DBT) 💰
Single platform for all applications",All India,https://education.gov.in
PM Vishwakarma Yojana,Skill,Artisans,Skill & financial support,All India,https://pmvishwakarma.gov.in

